intra_inertia,inter_inertia,nmi,silhouette,runtime_s,n_iter,algorithm,dataset,k,n,seed
48.97029115513918,46.62924662957143,0.8154937542710347,0.29936674064895064,0.010579900001175702,7,KMeans,wine,3,178,0
48.985414960044636,46.61412282466598,0.8346588494891204,0.2997081530816114,0.01798390000112704,8,KMeans,wine,3,178,1
48.97029115513917,46.62924662957143,0.8154937542710349,0.29936674064895064,0.011649500000203261,8,KMeans,wine,3,178,2
48.97029115513917,46.62924662957143,0.8154937542710351,0.29936674064895064,0.007932399999845074,4,KMeans,wine,3,178,3
48.97029115513918,46.62924662957143,0.8154937542710347,0.29936674064895064,0.010576100001344457,7,KMeans,wine,3,178,4
48.97029115513918,46.62924662957143,0.8154937542710347,0.29936674064895064,0.017324499996902887,7,KMeans,wine,3,178,5
48.95403581962662,46.64550196508398,0.8529287764511978,0.3013463273503232,0.011254200002440484,4,KMeans,wine,3,178,6
48.95403581962662,46.64550196508398,0.8529287764511978,0.3013463273503232,0.010041400000773137,6,KMeans,wine,3,178,7
62.171074241121595,33.428463543589004,0.479896238980888,0.25944558316917216,0.01187009999921429,8,KMeans,wine,3,178,8
49.01535511616751,46.5841826685431,0.7954942800062753,0.2992395760143608,0.007981300001119962,5,KMeans,wine,3,178,9
48.985414960044636,46.61412282466598,0.8346588494891204,0.2997081530816114,0.04993240000112564,6,KMeans++,wine,3,178,0
48.97248096345844,46.62705682125217,0.8781585673455441,0.3013496289991044,0.03648519999842392,5,KMeans++,wine,3,178,1
48.97029115513918,46.62924662957143,0.8154937542710347,0.29936674064895064,0.0081172999998671,6,KMeans++,wine,3,178,2
48.98541496004463,46.61412282466598,0.8346588494891204,0.2997081530816114,0.00661979999858886,11,KMeans++,wine,3,178,3
48.98541496004463,46.61412282466598,0.8346588494891204,0.2997081530816114,0.0056251999994856305,12,KMeans++,wine,3,178,4
48.985414960044636,46.61412282466598,0.8346588494891204,0.2997081530816114,0.004372800001874566,8,KMeans++,wine,3,178,5
48.985414960044636,46.61412282466598,0.8346588494891204,0.2997081530816114,0.0038366000007954426,6,KMeans++,wine,3,178,6
48.988844433610225,46.610693351100366,0.8215490461307172,0.30005782593041047,0.005208700000366662,7,KMeans++,wine,3,178,7
48.985414960044636,46.61412282466598,0.8346588494891204,0.2997081530816114,0.004610399999364745,5,KMeans++,wine,3,178,8
48.990081360735225,46.60945642397538,0.8466098147676713,0.30033936628495744,0.004400400001031812,5,KMeans++,wine,3,178,9
62.26553852238531,55.51300132436371,0.6974772560217184,0.2744603943898187,0.028572300001542317,4,PAM,wine,3,178,0
61.515029001222274,59.996716695015,0.6967104329368232,0.25959365905889364,0.028197499999805586,3,PAM,wine,3,178,1
81.49429472756978,53.58410793726447,0.4102175540527503,0.13200921544597613,0.017162600001029205,2,PAM,wine,3,178,2
62.469383785205224,58.801853907461066,0.6974772560217183,0.26950046241837067,0.019362300001375843,2,PAM,wine,3,178,3
59.80701291026946,59.09032835479739,0.7915165160368712,0.29016347892502725,0.054202799998165574,7,PAM,wine,3,178,4
75.648336850997,59.40588306967904,0.448769125023747,0.13316328211041867,0.01755080000293674,2,PAM,wine,3,178,5
62.469383785205224,58.801853907461066,0.6974772560217183,0.26950046241837067,0.018474000000423985,3,PAM,wine,3,178,6
60.207191671331586,58.7966311543575,0.7506778926285764,0.2835591683567878,0.01927380000051926,4,PAM,wine,3,178,7
60.207191671331586,58.7966311543575,0.7506778926285764,0.2835591683567878,0.020846999999776017,4,PAM,wine,3,178,8
61.515029001222274,59.996716695014996,0.6967104329368232,0.25959365905889364,0.015547800001513679,3,PAM,wine,3,178,9
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.012376200000289828,9,KMM,wine,3,178,0
59.80701291026946,59.09032835479739,0.7915165160368711,0.29016347892502725,0.011310599998978432,9,KMM,wine,3,178,1
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.013010800001211464,10,KMM,wine,3,178,2
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.010639299998729257,6,KMM,wine,3,178,3
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.010825800000020536,9,KMM,wine,3,178,4
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.013064499999018153,9,KMM,wine,3,178,5
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.011217600000236416,6,KMM,wine,3,178,6
60.572028481768584,65.45778490796994,0.875893534122307,0.29958535859882135,0.01022949999969569,8,KMM,wine,3,178,7
60.207191671331586,58.7966311543575,0.7506778926285764,0.2835591683567878,0.016211499998462386,11,KMM,wine,3,178,8
