intra_inertia,inter_inertia,silhouette,davies_bouldin,calinski_harabasz,runtime_s,n_iter,nmi,ari,purity,algorithm,mode,dataset,k,n,seed
1048.251843727692,281.65963455224045,0.04775924812945098,2.962905726035915,59.41136676614669,0.7023810999999114,70,0.4594769686412827,0.33768015791940975,0.508,KMeans,centralized,mnist,10,2000,0
1044.2056673200434,285.70581095988877,0.04293941267452197,2.875157777087287,60.49835898168897,0.17194620000009309,20,0.47150511054104965,0.33993070009494303,0.5315,KMeans,centralized,mnist,10,2000,1
1057.896668858601,272.01480942133145,0.04805434797662803,2.977296467439227,56.85384832029073,0.31108469999981025,42,0.4432198666370891,0.3265259806101566,0.522,KMeans,centralized,mnist,10,2000,2
1053.3538998582715,276.55757842166105,0.04253048780587191,2.899471776305402,58.052619788315624,0.2753142999999909,29,0.4511016864953536,0.31261088346692445,0.5185,KMeans,centralized,mnist,10,2000,3
1047.5030456395164,282.40843264041604,0.04589028772016914,2.925581861617362,59.61189572498759,0.4335329999998976,47,0.4789754127110212,0.3405221961616555,0.573,KMeans,centralized,mnist,10,2000,4
1043.648271841943,286.2632064379897,0.05096049904616966,2.8967541423294505,60.64876199528575,0.18424370000002455,21,0.48220114807178655,0.3265645547984256,0.5425,KMeans,centralized,mnist,10,2000,5
1051.0749629272723,278.8365153526601,0.04566820895006003,2.98273513663361,58.657901579416766,0.3170831999996153,36,0.4231784507547563,0.2598797768270581,0.4535,KMeans,centralized,mnist,10,2000,6
1041.007150928998,288.9043273509344,0.05506607568347885,2.874577886585428,61.36361000821811,0.2705578999998579,27,0.4422563204413991,0.2949507284728327,0.4885,KMeans,centralized,mnist,10,2000,7
1039.7398358978298,290.17164238210256,0.0554890030194039,2.857007643335697,61.70791196495753,0.22325250000039887,25,0.46526137978789034,0.31997435409185493,0.5205,KMeans,centralized,mnist,10,2000,8
1046.6933167732548,283.2181615066778,0.0435696865631663,2.8701242061856536,59.829064898055144,0.2367616999999882,27,0.4841876956615986,0.3472203607204246,0.565,KMeans,centralized,mnist,10,2000,9
1045.101981153803,284.8094971261295,0.05878506612454302,2.8581152331748796,60.25684143764685,1.0945246000001134,21,0.5067346008330927,0.3484040772249318,0.5715,KMeans++,centralized,mnist,10,2000,0
1044.7644052864798,285.14707299345264,0.057009550369446896,2.8991389264155356,60.347754786281214,0.6657666000000972,19,0.4728971737038804,0.3485323244447134,0.5515,KMeans++,centralized,mnist,10,2000,1
1043.7594040785295,286.1520742014031,0.0522232372942554,2.930101193002554,60.618762165098524,0.809664000000339,39,0.4659843376599103,0.3433782683300188,0.5375,KMeans++,centralized,mnist,10,2000,2
1045.0600641850094,284.85141409492303,0.04731912781963221,2.8562911019101227,60.26812700111893,0.9327894000002743,63,0.4502707659774734,0.28707371105989266,0.4935,KMeans++,centralized,mnist,10,2000,3
1046.1269656668665,283.784512613066,0.052597119506502595,2.918340536822547,59.98115999237313,0.7673897999998189,28,0.4888248630856348,0.3431770664392559,0.5475,KMeans++,centralized,mnist,10,2000,4
1045.234163649235,284.6773146306974,0.05997034929583144,2.937098857575599,60.221259058696816,0.4892141000000265,19,0.44628025594054604,0.30831024696411347,0.511,KMeans++,centralized,mnist,10,2000,5
1039.3543344575303,290.55714382240217,0.058636396579421275,2.835934419717339,61.81281087875949,0.5863374000000476,26,0.4831411273013765,0.37313301263415133,0.5665,KMeans++,centralized,mnist,10,2000,6
1050.4577882692008,279.45369001073175,0.05272861532077802,2.8972131016481955,58.82227405270844,0.7563254000001507,42,0.47092507456537125,0.31429496912962523,0.509,KMeans++,centralized,mnist,10,2000,7
1041.1252427703264,288.7862355096059,0.05922962399679353,2.8061533204472564,61.331569713184074,0.863068199999816,24,0.4871119288887873,0.3604401365131856,0.576,KMeans++,centralized,mnist,10,2000,8
1045.3108288081569,284.6006494717756,0.042047669892689404,2.8586553136557566,60.20062558750862,0.8221444000000702,37,0.4727151433066638,0.31782193049578933,0.5215,KMeans++,centralized,mnist,10,2000,9
1067.7510173464734,262.160460933459,0.04635055040099874,3.3104011213621005,54.28849035466536,0.6497018000000025,1,0.3971580480238785,0.28309085483908,0.483,Dist-KMeans,distributed,mnist,10,2000,0
1063.7685340032428,266.1429442766895,0.04519516751041036,3.0144757181317967,55.31951758522493,0.15187880000030418,1,0.42803488366286496,0.3034697685124761,0.511,Dist-KMeans,distributed,mnist,10,2000,1
1067.644886866337,262.2665914135955,0.050521059915971986,3.2459982390267106,54.315866771948414,0.1528349000000162,1,0.40420667638084895,0.2821338942210018,0.478,Dist-KMeans,distributed,mnist,10,2000,2
1071.233519290815,258.6779589891173,0.03835197900444113,3.0309928546857545,53.39318636136761,0.12233409999998912,1,0.39817873183820907,0.2666587872861747,0.487,Dist-KMeans,distributed,mnist,10,2000,3
1078.7598976315653,251.15158064836714,0.03675970380733449,3.281186371365499,51.47800282193895,0.19265430000041306,1,0.3362720304267105,0.1937015582904919,0.4125,Dist-KMeans,distributed,mnist,10,2000,4
1075.5860429285794,254.3254353513531,0.04546107698294601,3.371408502183017,52.282362684106324,0.11220899999989342,1,0.39317854679761477,0.2672025353974739,0.484,Dist-KMeans,distributed,mnist,10,2000,5
1066.4469687007877,263.46450957914504,0.04864949841859596,3.139275440563094,54.62524828811557,0.13550390000000334,1,0.3891385955243622,0.25294002342762717,0.4565,Dist-KMeans,distributed,mnist,10,2000,6
1059.648125274422,270.2633530055104,0.05100412458778551,3.043807331058226,56.39440947454796,0.17918479999980264,1,0.3828724361352287,0.24800219534652518,0.439,Dist-KMeans,distributed,mnist,10,2000,7
1061.7149238175834,268.1965544623488,0.048847565182614995,3.071516894267857,55.85420042897532,0.21761109999988548,1,0.41535151430647027,0.27027371155793856,0.4875,Dist-KMeans,distributed,mnist,10,2000,8
1071.347993268293,258.5634850116393,0.043218185224700494,3.186433949246665,53.363855463317726,0.16490650000014284,1,0.41726659462834265,0.27683464850608375,0.5035,Dist-KMeans,distributed,mnist,10,2000,9
1068.4953818849788,261.4160963949536,0.05187381865924492,3.017947826859792,54.09663393607422,0.6924408999998377,1,0.41909143438304214,0.2741868263587681,0.5375,Dist-KMeans++,distributed,mnist,10,2000,0
1061.2650853534617,268.6463929264705,0.05688570863600178,3.0942974085409185,55.97159772403162,0.5954606999998759,1,0.4569699429122243,0.3357486919527996,0.546,Dist-KMeans++,distributed,mnist,10,2000,1
1070.4934632525276,259.4180150274048,0.04265773838833285,3.133206894423469,53.58295731266622,0.5065559999998186,1,0.37719149230072896,0.23312563304161607,0.441,Dist-KMeans++,distributed,mnist,10,2000,2
1083.6319863599665,246.27949191996598,0.04379676687087387,3.2231877439184515,50.252422213212895,0.6043540000000576,1,0.3827136024446045,0.2378072823073837,0.451,Dist-KMeans++,distributed,mnist,10,2000,3
1057.031638792276,272.8798394876564,0.057114518865219684,3.0584775960531596,57.081323107675225,0.542931899999985,1,0.4487815712302676,0.3129560986859697,0.5265,Dist-KMeans++,distributed,mnist,10,2000,4
