intra_inertia,inter_inertia,nmi,silhouette,runtime_s,n_iter,algorithm,dataset,k,n,seed
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0024028000007092487,7,KMeans,breast_cancer,2,569,0
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004115199997613672,7,KMeans,breast_cancer,2,569,1
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.009521200001472607,7,KMeans,breast_cancer,2,569,2
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0018282999990333337,5,KMeans,breast_cancer,2,569,3
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.002808000001095934,7,KMeans,breast_cancer,2,569,4
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.002312999997229781,7,KMeans,breast_cancer,2,569,5
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0017353000002913177,6,KMeans,breast_cancer,2,569,6
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.002652200000738958,6,KMeans,breast_cancer,2,569,7
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0022352999985741917,7,KMeans,breast_cancer,2,569,8
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0033148000002256595,9,KMeans,breast_cancer,2,569,9
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.005003700000088429,10,KMeans++,breast_cancer,2,569,0
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.006649499999184627,7,KMeans++,breast_cancer,2,569,1
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004394800002046395,10,KMeans++,breast_cancer,2,569,2
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.0054156000005605165,11,KMeans++,breast_cancer,2,569,3
215.83831972044857,138.5982936239524,0.6230860242027787,0.3845494883485513,0.004741900000226451,8,KMeans++,breast_cancer,2,569,4
